Track ID,Track Name,Artist(s),Album,Release Date,Cover Image,Popularity,Genre
7DDGASwYNNU4kXb7VyQLvp,Ammadi Aathadi,"['Yuvan Shankar Raja', 'Silambarasan TR', 'T. Rajendar', 'Suchitra', 'Mahathi']",Vallavan (Original Motion Picture Soundtrack),15-12-2006,https://i.scdn.co/image/ab67616d0000b2730948e540d7d7f26d9be4156d,53,kollywood
5jc3vAJFWAPtppG9vwok9g,Therirangum Mukile,"['Suresh Peters', 'P. Jayachandran']",Mazhathullikkilukkam (Original Motion Picture Soundtrack),2002,https://i.scdn.co/image/ab67616d0000b2738822168d6d519876181d82d9,52,kollywood
1ggqnDSMKKFBbhvEnklDCp,"Inji Idupazhaga (From ""Devar Magan"")",['S. Janaki'],Solo Songs of S. Janaki Vol -1,22-11-2016,https://i.scdn.co/image/ab67616d0000b273c98935a046aa3c24d210b19c,51,kollywood
5KW8kOHmXqkDEdj6JyP3dJ,"Unna Nenachu (From ""Psycho (Tamil)"")","['Ilaiyaraaja', 'Sid Sriram']","Unna Nenachu [From ""Psycho (Tamil)""]",18-11-2019,https://i.scdn.co/image/ab67616d0000b273ba20d3bc401860f4f9caa70d,52,kollywood
1OzLNfXyIgmxSNyEOLgjvQ,Unn Perai Sollum,"['G. V. Prakash', 'Na.Muthukumar', 'Naresh Iyer', 'Shreya Ghoshal', 'Haricharan']",Angadi Theru (Original Motion Picture Soundtrack),26-03-2010,https://i.scdn.co/image/ab67616d0000b27335a8edd6512d343bdd4bf43c,52,kollywood
4nVUk0Ff9fKbeNQHaYlnyw,Kitta Nerungi Vaadi,"['Vijay Antony', 'Sukhwinder Singh', 'Gayathri']",Dishyum (Original Background Score),25-01-2006,https://i.scdn.co/image/ab67616d0000b27391bd0cb8bedef8caa62b157b,52,kollywood
1qzXfl3hsR424AHIvwyz7f,Aadunga Da,"['Sundar C. Babu', 'Velmurugan']",Naadodigal (Original Motion Picture Soundtrack),13-05-2009,https://i.scdn.co/image/ab67616d0000b273b78d4b83e451d398368ffda2,52,kollywood
5O6JcBvS6FK1TkGDkQnInh,Olli Kuchi,"['Deva', 'KK', 'Anuradha Sriram']",Red (Original Motion Picture Soundtrack),01-01-2002,https://i.scdn.co/image/ab67616d0000b2730c43ac6d316a3cd6acdbbde5,52,kollywood
6aACwXDIHQXIP097DT8WfE,Chillena,"['G. V. Prakash', 'Clinton Cerejo', 'Alphonse', 'Alka Ajith']",Raja Rani (Original Motion Picture Soundtrack),23-08-2013,https://i.scdn.co/image/ab67616d0000b27384e60191c6706523261a8bef,52,kollywood
2hBFfxMw0RtEI5KsCJ7knh,Matta,"['Yuvan Shankar Raja', 'Shenbagaraj', 'Velu', 'Sam', 'Narayanan Ravishankar']",The Greatest Of All Time,03-09-2024,https://i.scdn.co/image/ab67616d0000b2735820c59791afe2cb66a66ec3,53,kollywood
0kkAkpNd0fRvfcDZmOYIwi,Karupputhan Yenakku,"['Deva', 'Anuradha Sriram']",Vetri Kodi Kattu (Original Motion Picture Soundtrack),20-06-2000,https://i.scdn.co/image/ab67616d0000b273f17b9b3f234a30cb259daf42,52,kollywood
3Pd5vck1SFioGlyZekLuQ1,Karimizhi Kuruviye - Duet Version,"['Vidyasagar', 'V. Devanand', 'Sujatha']",Meesamadhavan (Original Motion Picture Soundtrack),16-06-2002,https://i.scdn.co/image/ab67616d0000b2732bdc69cec5f1399786d5518e,51,kollywood
4nwbobJwDKXDHmtDMxmVd9,"April Maathathil (From ""Vaali"")","['Deva', 'Unnikrishnan', 'Harini', 'Vairamuthu']",Deva Classic Songs,13-07-2023,https://i.scdn.co/image/ab67616d0000b273f7624951fd286c28cd5ab130,52,kollywood
6o7Pj5PHSvIlrH4T5zf6ul,Vetti Veru Vasam,"['Malaysia Vasudevan', 'S. Janaki']",Muthal Mariyathai (Original Motion Picture Soundtrack),1985,https://i.scdn.co/image/ab67616d0000b273fce27d160c9314f1c68cc8a2,52,kollywood
75sjXeV1gvbSUhptK16P9u,Sandalee,"['G. V. Prakash', 'Velmurugan', 'Mahalingam']",Sema (Original Motion Picture Soundtrack),09-06-2017,https://i.scdn.co/image/ab67616d0000b27378b306e1b175a7a173a97aaa,51,kollywood
6Z2mcjkCZ8HYy6LuSDGfDK,Vaanam,"['Vidyasagar', 'K. S. Harisankar']",Anarkali (Original Motion Picture Soundtrack),23-10-2015,https://i.scdn.co/image/ab67616d0000b273ad3bd741401865d44d2d383a,52,kollywood
7tr5DrOhoA4Dolg8X1OnRQ,"Sai Pallavi's Intro (From ""Amaran"")",['G. V. Prakash'],"Sai Pallavi's Intro (From ""Amaran"")",30-09-2024,https://i.scdn.co/image/ab67616d0000b273089079e87cfe5c605c06ecd3,51,kollywood
3KHZLNuUkmV6m7KgJbHxFv,Nilamalare,"['Vidyasagar', 'Nivas']",Diamond Necklace (Original Motion Picture Soundtrack),14-12-2012,https://i.scdn.co/image/ab67616d0000b273454701623fa0f0cdc158f393,52,kollywood
48SUyK7lpQElCnhFjP3qPc,Minikki Minikki,"['G. V. Prakash', 'Sinduri Vishal', 'Uma Devi']",Thangalaan (Original Motion Picture Soundtrack) [Tamil],14-08-2024,https://i.scdn.co/image/ab67616d0000b2737b5dd3358542077d1e3cdd22,51,kollywood
1CEgQhKhJ6mgCSROqW5FNX,"Urugudhe Maragudhe (From ""Veyil"")","['G. V. Prakash', 'Shreya Ghoshal', 'Shankar Mahadevan']",Veyil (Original Motion Picture Soundtrack),17-12-2006,https://i.scdn.co/image/ab67616d0000b273d7d689c15606aefdd066f528,51,kollywood
4LIJn3SG7mCCNKQc6vyy5S,Yaaro Ivan,"['G. V. Prakash', 'Saindhavi']",Udhayam NH4 (Original Motion Picture Soundtrack),03-04-2013,https://i.scdn.co/image/ab67616d0000b2732eefa790026c5a32d7212d59,51,kollywood
3KmqCi6VD4IkonTDO1LRge,"Oru Devathai (From ""Vaamanan"")","['Yuvan Shankar Raja', 'Roop Kumar Rathod']",All About Love: Yuvanshankar Raja,31-08-2018,https://i.scdn.co/image/ab67616d0000b273cbb852c7ef0daf9f87816138,51,kollywood
50RcuWjfUcoJfWMNegXF0b,"Ee Raathale (From ""Radhe Shyam"")","['Yuvan Shankar Raja', 'Harini Ivaturi', 'Justin Prabhakaran']","Ee Raathale (From ""Radhe Shyam"")",15-11-2021,https://i.scdn.co/image/ab67616d0000b273c01ce9d6f7b155854393fa29,51,kollywood
3maYKRbNAKulMXWwil6a9B,Ilaya Nila,"['Ilaiyaraaja', 'S. P. Balasubrahmanyam']",Payanangal Mudivathillai (Original Motion Picture Soundtrack),01-01-1982,https://i.scdn.co/image/ab67616d0000b2731f33e470c5f6ab2bee0b5ac9,51,kollywood
2lTWGpqnKh0CZwRl5qtFLi,Naan Erikarai,['Ilaiyaraaja'],Chinna Thayee,01-02-1992,https://i.scdn.co/image/ab67616d0000b273a4347940cb1940e641670199,50,kollywood
7p7SD0dLoxlGYAvyBRJSMv,Anuraaga Vilochananaayi,"['Vidyasagar', 'V Sreekumar', 'Shreya Ghoshal']",Neelathamara (Original Motion Picture Soundtrack),2009,https://i.scdn.co/image/ab67616d0000b2734f8aaf30accb93c9f1b27053,51,kollywood
2NlPuIRLy3YMN9Jb3UjDhm,Azhagha Poranthuputa,"['Malathy Laxman', 'Priyadharshini']",Siruthai (Original Motion Picture Soundtrack),20-12-2010,https://i.scdn.co/image/ab67616d0000b27304463e4ad9382d54b8ed448e,51,kollywood
3VpVwKT10A5a4eqN4Pyad1,"Mizhiyariyaathe - Version, 1","['Vidyasagar', 'K. J. Yesudas']",Niram (Original Motion Picture Soundtrack),1999,https://i.scdn.co/image/ab67616d0000b27380bd4cf31db6b4dc0cbfcaa1,51,kollywood
7uMf1DQzEMqgJOSQgc5K2Y,"Vaathi Kabaddi (From ""Master"")","['Vidyasagar', 'Anirudh Ravichander', 'Maran', 'Jayamoorthy']","Vaathi Kabaddi (From ""Master"")",15-01-2021,https://i.scdn.co/image/ab67616d0000b273b0423434a0300d0474f327c8,51,kollywood
3496pVYTAGr3seBF38OnBT,Enthero Mahaanubhaavalu,"['Vidyasagar', 'Harmony']",Devadoothan (Original Motion Picture Soundtrack),08-02-2001,https://i.scdn.co/image/ab67616d0000b2731a93b3c25e21c75df5d90d03,50,kollywood
2Hdoffi3Ynk12njFM3OT2T,Raja Raja Chozhan,"['Ilaiyaraaja', 'K. J. Yesudas']",Rettai Vaal Kuruvi (Original Motion Picture Soundtrack),01-01-1987,https://i.scdn.co/image/ab67616d0000b273b00f3a9225e3e6e2cc360d97,50,kollywood
6C6u94AZlturaUaFTmfgFp,Putham Puthu Kaalai,['S. Janaki'],Alaigal Oyvatillai,01-01-1981,https://i.scdn.co/image/ab67616d0000b2734e02e2346fb9e14d87fd82ad,50,kollywood
1NWBtqhMydn8BUtlv33WCE,Aasai Dosai,['Priya Subramani'],Paramasivam (Original Motion Picture Soundtrack),04-01-2006,https://i.scdn.co/image/ab67616d0000b27368f2c0cc2db1eab7895e0fce,50,kollywood
4WlbfwB0LT2Ca6fqKo8J21,Anbe Anbe,['G. V. Prakash'],Darling (Original Motion Picture Soundtrack),26-11-2014,https://i.scdn.co/image/ab67616d0000b2733178697901867e242461394e,50,kollywood
0Y7Wa0DDIBz8OrlIAkSY3z,Aararum - Male Version,"['Vidyasagar', 'P. Jayachandran']",Chandrolsavam (Original Motion Picture Soundtrack),26-02-2005,https://i.scdn.co/image/ab67616d0000b273b92c11d5cf97e82d3999ebe3,50,kollywood
4b5m9ozBsFjIhDbg0IRpbL,Thenpandi Cheemayile,"['Ilaiyaraaja', 'Kamal Haasan']",Nayagan (Original Motion Picture Soundtrack),21-10-1987,https://i.scdn.co/image/ab67616d0000b273ab124639a9edcbb6e772c5ba,50,kollywood
6Fd39l49ejUxs9lM2dAmMW,Palaanadhu Palaanadhu,"['Vidyasagar', 'S.Rajalakshmi', 'Pa. Vijay']",Kuruvi (Original Motion Picture Soundtrack),03-05-2008,https://i.scdn.co/image/ab67616d0000b27323d20d07fc7fcdd377fe59f7,51,kollywood
3Gf3nkzhkr1SO6dgFEnDrw,Azhagendra Sollukku,['T. M. Soundararajan'],Karpanai Endralum,01-01-2011,https://i.scdn.co/image/ab67616d0000b27340adb05f1af9bdabee7e762c,49,kollywood
4Tcs7t7ffUifz73kEOsnQZ,Kaadhana Preme (Version 1),['S.P. Charan'],Manmadha,28-04-2005,https://i.scdn.co/image/ab67616d0000b27363ccc1b268875423a7e7e945,50,kollywood
